Volume,WhiteCellCount,InstrumentTempreture,Concentration,SampleType,ResultAccuracy
58,9176,25,102,DNA,88
100,6325,28,228,DNA,98
87,7091,23,248,DNA,88
90,4960,27,185,DNA,89
59,9711,26,250,DNA,89
53,5176,27,148,DNA,100
68,6586,22,187,DNA,88
92,7600,27,213,DNA,88
62,7176,27,215,DNA,96
87,9991,27,157,DNA,89
63,4167,26,185,DNA,97
86,3716,24,152,DNA,95
91,4016,22,202,DNA,95
71,7998,27,186,DNA,91
91,7246,26,151,DNA,98
82,7743,27,144,DNA,95
61,9363,24,142,DNA,89
52,4394,24,161,DNA,90
68,7954,25,222,DNA,100
73,8446,22,132,DNA,100
87,7094,22,121,DNA,95
52,8780,26,246,DNA,91
85,7279,22,120,DNA,99
55,9989,27,178,DNA,89
60,3737,23,173,DNA,92
86,5867,27,98,DNA,90
74,6717,25,205,DNA,88
81,6635,23,139,DNA,97
85,8277,26,189,DNA,98
94,4522,28,213,DNA,96
53,6798,22,163,DNA,96
70,9797,28,245,DNA,93
53,7640,28,175,DNA,93
59,6180,22,164,DNA,93
92,4074,23,93,DNA,100
69,4697,28,229,DNA,92
79,6406,25,228,DNA,88
89,8461,28,178,DNA,90
64,9499,26,101,DNA,98
72,9892,22,111,DNA,94
93,4679,28,208,DNA,92
50,7128,23,207,DNA,96
65,5584,26,127,DNA,99
95,9571,26,156,DNA,95
95,6481,26,138,DNA,95
99,9558,26,141,DNA,98
65,6038,23,177,DNA,94
54,7989,25,227,DNA,90
87,8453,26,243,DNA,90
76,9407,23,191,DNA,89
50,4236,27,189,DNA,100
64,3979,26,244,DNA,92
78,6999,26,100,DNA,98
80,6654,22,171,DNA,92
60,4866,22,143,DNA,94
57,4968,27,161,DNA,98
61,8126,24,108,DNA,97
83,9061,22,116,DNA,96
78,7468,26,201,DNA,95
92,7784,23,189,DNA,91
88,8950,25,183,DNA,91
59,7469,28,116,DNA,89
56,8060,25,90,DNA,88
68,6231,25,112,DNA,91
52,7790,25,90,DNA,98
99,8980,28,229,DNA,95
51,4808,22,157,DNA,93
60,9821,23,155,DNA,89
63,7355,27,146,DNA,91
100,4598,24,145,DNA,100
53,5753,28,100,DNA,94
50,3030,23,171,DNA,90
91,3300,25,219,DNA,99
